32,k,r,i,t,i,k,u,ʃ,o,k,,,,,,,
33,t,œ,h,m,æ,t,,,,,,,,,,,
34,p,j,ɛ,r,v,ɔ,t,n,ɨ,,,,,,,,
35,b,a,d,̪,a,n,̪,u,b,a,d,̪,,,,,
36,ɪ,s,d,ɑ,ː,j,ɑ,ː,,,,,,,,,
37,t,͡,ʃ,ɑ,l,m,ɑ,ɡ,,,,,,,,,
38,b,a,w,o,m,,,,,,,,,,,,
39,o,r,ɔ,k,ʂ,i,t,̪,,,,,,,,,
40,v,o,z,v,r,a,ɕ,ː,a,t,ʲ,s,ʲ,a,,,
41,c,r,i,ː,t,ɪ,c,ʏ,s,,,,,,,,
42,n,ɛ,s,t,ɑ,b,i,l,ʲ,n,ʲ,i,s,t,ʲ,,
43,ɛ,n,ɡ,ɛ,d,ɛ,t,l,ɛ,n,ʃ,e,ː,ɡ,,,
44,a,l,i,p,t,ə,,,,,,,,,,,
45,f,a,l,l,s,,,,,,,,,,,,
46,d,i,s,p,r,o,p,o,r,t,͡,s,i,o,n,a,t
47,l,i,m,i,t,a,t,i,o,n,,,,,,,
48,k,r,ə,m,ə,r,ə,h,ɪ,t,̪,ə,ŋ,ɡ,a,,
49,e,s,n,e,m,e,,,,,,,,,,,
50,p,r,o,ː,s,,,,,,,,,,,,
51,s,t,r,ɑ,ʂ,n,ɔ,,,,,,,,,,
52,u,d,̪,a,s,i,ː,n,ə,t,̪,ə,,,,,
53,n,ɛ,p,r,ɑ,ː,v,ɪ,l,n,ɑ,ː,,,,,
54,f,a,n,d,a,n,ɡ,o,,,,,,,,,
55,x,o,l,o,d,n,o,,,,,,,,,,
56,i,n,f,e,k,t,s,i,o,n,,,,,,,
57,i,n,f,ɛ,ɾ,i,ɔ,ɾ,i,t,a,t,,,,,
58,k,ɑ,r,l,ɪ,k,,,,,,,,,,,
59,ɛ,s,t,u,p,i,d,,,,,,,,,,
60,r,e,t,j,z,ɛ,n,,,,,,,,,,
61,t,r,e,ː,h,ə,n,,,,,,,,,,
62,e,l,i,m,i,n,a,s,i,o,n,e,,,,,
63,o,s,l,a,b,ʲ,i,t,ʲ,,,,,,,,
64,s,t,a,ɲ,a,n,t,e,,,,,,,,,
65,c,i,w,,,,,,,,,,,,,,
66,r,e,l,i,t,ː,o,,,,,,,,,,
67,ø,ʃ,s,ɛ,o,m,l,i,k,,,,,,,,
68,l,ʲ,e,z,t,ʲ,,,,,,,,,,,
69,k,a,r,i,k,a,t,y,r,,,,,,,,
70,i,n,f,r,u,t,ː,u,o,s,o,,,,,,
71,o,ː,v,ɛ,r,ɣ,e,ː,v,ɛ,n,,,,,,
72,i,m,p,ɾ,u,d,e,n,s,i,a,,,,,,
73,r,ɛ,s,t,r,i,k,t,j,v,,,,,,,
74,t,ə,r,k,u,t,u,k,,,,,,,,,
75,ɛ,l,m,ɒ,r,ɒ,d,,,,,,,,,,
76,k,r,e,p,a,,,,,,,,,,,,
77,ɐ,p,ʁ,i,z,i,o,n,ɐ,m,ɛ,n,t,o,,,
78,t,͡,ʃ,ɒ,l,o,ː,k,ɒ,,,,,,,,
79,b,e,ː,t,ɛ,k,e,ː,n,ɪ,s,l,o,ː,s,,
80,p,ə,r,,,,,,,,,,,,,,
81,f,e,ː,l,t,e,ː,k,ɛ,ɲ,ɛ,n,,,,,
82,b,o,l,u,m,i,n,o,s,o,,,,,,,
83,p,u,n,k,,,,,,,,,,,,,
84,ɲ,ɛ,j,s,t,ɔ,t,n,ɨ,,,,,,,,
85,o,t,̪,ɔ,r,k,i,t,̪,,,,,,,,
86,a,ɡ,ɔ,n,i,a,,,,,,,,,,,
87,n,̪,a,ʈ,u,k,k,a,m,,,,,,,,
88,f,e,ə,f,a,l,ə,n,,,,,,,,,
89,z,o,ɾ,b,a,l,ɯ,k,,,,,,,,,
90,ʁ,u,j,d,o,z,o,,,,,,,,,,
91,u,l,l,ə,ŋ,ɡ,̤,ə,n,ə,,,,,,,
92,d,e,s,t,ɾ,u,k,t,o,ɾ,,,,,,,
93,ʃ,ɔ,k,e,,,,,,,,,,,,,
94,s,t,ɑ,t,ɪ,k,,,,,,,,,,,
95,p,a,ː,t,͡,ʃ,i,t,͡,ʃ,a,,,,,,
96,n,ɛ,d,v,,,,,,,,,,,,,
97,ʔ,a,l,a,l,a,h,a,n,i,n,,,,,,
98,ʌ,ʋ,j,ə,k,t,̪,ə,ŋ,ɡ,a,,,,,,
99,v,i,p,ɛ,r,ɒ,,,,,,,,,,,
